name,intro,label,predict_label
日語初級(10課～12課),透過歌唱學習到簡單日本語問候，及進一步了解日本文化，風俗習慣等，歌唱是一種健康的運動，可以解除您生活上的壓力，豐富精神層面領域，增進生活樂趣。透過歌唱學習到日本的文化、風俗習慣及簡單的問候語，上課方式輕鬆自在，幽默好笑的無壓力。,非上述屬性,民俗文化資產
水太極～太極傳統導引藝術,"透過練習鬆柔似水的太極與導引，引導學員認識身體的構造與活動方式，教導學員運動防護的觀念及日常生活的正確活動姿勢，以避免運動傷害。
並練習如何平衡骨架、伸展放鬆、鍛練筋骨與活絡氣血，以增加自我保健及自療的能力，進而發現身體的空間，與自己靜好。",生命教育、美感教育,美感教育
生活魔術課,希望能夠在這個社會中推廣表演藝術，藉由魔術來欣賞演出者與觀賞者應有素質，讓身邊親朋好友認識魔術的美好。,美感教育,美感教育
用水彩去旅行-初階,"初階風景水彩課程,從基礎樹,山,水,等自然風景畫法,到一點透視講解建築街景概念,從臨摹到創作,一步步帶領初接觸水彩的學員體會水彩創作樂趣,進而能隨手記錄下自己旅行的感動.",美感教育,民俗文化資產、環境永續
有氧筋膜滾筒皮拉提斯,"1.依循核心穩定原則設計的有氧舞蹈，針對想要增肌與強化體能耐力的族群
2.提供溫和安全步型組合來活動全身大肌群，安全提升有氧代謝、活化心肺適能
3.提高脊椎骨盆控制能力、協調性、肌力、肌耐力與平衡性
4.學會運用滾筒操作肌筋膜自我放鬆",美感教育,傳統藝術、美感教育
竹塹學-城市老建築觀察,"1.	對老建築議題擁有更高的洞察力與同理心。
2.	透過觀察，為生活尋找更多樂趣。
3.	實際參與老建築議題討論，或甚至付諸行動。
4.	在觀察或付諸行動的過程中，為新竹的都市紋理增添色彩。",公民素養、社區總體營造、美感教育、地方學、民俗文化資產,民俗文化資產
佛拉明哥舞~初階班,"教學目標：
一、認識佛拉明哥舞的文化藝術。開展文化包容與豐富生活。
二、舞蹈加上音樂、節奏等融合，透過舞蹈將情感與自信表現於生活。
三、提升肢體活動力，將心眼擴展、情緒轉動，促進身體健康，身心合協。
",美感教育,傳統藝術、民俗文化資產、生命教育、美感教育
快樂學桌球(週五班),"藉由桌球課程了解球場禮貌，培養勝不驕敗不餒精神，以球會友的態度，發展人際關係的和諧，享受運動過程中的快樂。
",美感教育,非上述屬性
初級旅遊美語,"生活美語已成為現代人出國必備的工具,本班藉由主題式的生活美語,學習單字和 句型, 並利用小組討論和對話練習,學習實用的生活美語,讓您出國,出差輕鬆說英文.",英語教育,英語教育
居家及個人形象色彩應用,"本課程是採用四季色彩之理論,鑑定專屬的個人色彩.因本人擔任室內設計師,多年來深知色彩對居家的影醒甚鉅.是艷麗的紅還是高雅的紅適合自己?在穿著搭配上,穿對顏色可使氣色氣質更佳.將色彩廣泛運用於社區社會,使城市充滿美麗的色彩",美感教育,美感教育
玩皮手作-皮雕小物,"皮革手作是市場上多人學習製作的手作項目，本課程內容將教導染色,縫合皮革製作學習。
",美感教育,非上述屬性
知己知彼的成功識人學,"有心無相相隨心生；有相無心相逐心滅。隨著歲月流轉與後天人格的養成，性格已和容貌緊緊結合在一起。唯有先懂得『識己』之後才能懂得『識人』。借由識人學的研習可內觀自我、修煉自己，學習樂觀積極的處事態度，創
造更圓融、成功的人生。
",生命教育,非上述屬性
社區風味西點製作,"1.	讓學員了解掌握烘焙的食材、溫度、發酵等製作技巧。
2.	讓學員從打麵開始學會做出不同種類的西點點心。
3.	讓學員能夠透過課程激發創意思考，發展出在風味、造型具獨特性的社區伴手禮。
",美感教育,非上述屬性
音樂與生活（歌劇欣賞）,"1. 透過電影、廣告配樂等媒材，多元輕鬆地認識古典音樂的歌劇作品，開啟生活的美好藝術面向。
2.對經典歌劇及背後的社會文化脈絡有更深入的認識。
3.學會主動搜尋網路的歌劇相關資料。
4.讓生活中充滿美好的樂音，提昇美學涵養和人文品味。
",美感教育,人權法治、傳統藝術、民俗文化資產、美感教育
祖孫樂活~歡樂氣球掌中戲,"1.玩氣球、健身樂，利用氣球可折的特性，來強化銀髮族社區青年的手掌肌肉與手臂肌。
2.玩創意、活絡腦力及創意發想，運用這氣球過程中，激發創意發想。
3.增長流質智力，強化晶質智力，學習新知，重建新的神經迴路。
4.運用氣球來佈置社區公共空間，增進青銀族的社交關係與社會連結。",美感教育,非上述屬性
探索神秘的星空,"學員自我能力提升的效益：認識星空奧秘，吸收天文知識
學員公民素養提升的效益：瞭解光害與空氣污染對星空的影響，並推廣節能環保愛地球
",環境永續,人權法治、公民素養、環境永續
畫(話)遊竹塹-城市速寫與故事,"因為一向以身為新竹人為傲，對竹塹文史略知一二，加上從事多年美術教育，因此想結合文史導覽和塗畫，在輕鬆的氛圍下，讓大家認識新竹的在地小故事，自在塗畫所見所感，且因瞭解而對新竹更有認同感。
",美感教育、地方學,美感教育
硬筆入門軟筆秀藝,藉由書寫硬筆字與軟筆字，讓學員充分體會漢字之美，進而影響家人、朋友，讓現今充斥在電腦打字的年代，能夠重新拾筆書寫，感覺手寫的溫度，此外，寫字更可以培養心性與耐性，減少人在社區、社會的暴力衝突。,美感教育,科技學習
鄉詩俚諺采風情：古典詩文吟唱、賞析、創作,透過課堂講義及教材(唐詩、竹塹竹枝詞、諺語等)的傳授、賞析、吟唱與習作，由淺而深，引發誘導學員「讀我家鄉、愛我故里」的情懷。並學會用文字，認識詩歌基本格律及吟唱要領，點寫週遭極目所見、所聞與所感；我手寫我口，紀錄過去與現在，並參與社區活動及吟唱比賽，達到人文素養之提昇與鄉土傳情於未來之目標。,本土語文,公民素養
微笑天使－學手語遊竹塹,課程開設理念：日常生活中，我們偶爾會在政府機關、醫院、咖啡館…任何一處，見到飛舞雙手，表情豐富的聾朋友們開心地聊天；也曾見到心急如焚的聾人遭逢急難，卻因不擅長筆談，綜使努力地比手劃腳，聴人仍無法理解其需求的無助…。新竹是一個健康、友善的城市,公民素養、生命教育,非上述屬性
輕水彩好生活,"期許學員能用簡單的色鉛筆,輕水彩的媒材, 紀錄生活中的小確幸, 增添生活色彩.",美感教育,非上述屬性
輕鬆玩鍵盤-爵士音樂帶著走,希望透過簡單、方便、便宜的手捲電鋼琴，讓學員輕鬆學習無負擔，開心玩音樂彈奏簡單歌曲，自娛娛人。教師將依學員程度分成初階中階兩組，給予適合的教材並隨時更新進度。期望再期末每個人都能上台自信表演。,美感教育,傳統藝術
關係療癒-表達性藝術治療,藝術治療課程是以正念與心理劇為根基的表達性藝術治療課程。課程中以學習藝術治療的重要概念為主，以情緒管理相關的理論為輔，使用表達性藝術治療之媒材，透過表達性藝術治療、完形治療、心理劇、催眠療法的運用，學習察覺身體、感覺、思想、達到身心抒壓平衡,性別平等、生命教育、家庭教育,生命教育、美感教育
歡唱學英語,"透過歡唱歌曲增進學習英語的興趣, 藉著歡唱歌曲的快樂氛圍, 讓英文輕鬆朗朗上口, 提高學習英語的效率!",美感教育、英語教育,英語教育
Fun 鬆做瑜珈B班,"瑜伽改善身體的不平衡， 並藉由呼吸強化自律神經,淨化血液，達到健美強身的目的 。只要學會瑜伽並持之以恆的練習，將發現身體越做越好。",美感教育,非上述屬性
中醫養生保健,"中醫藥與民眾的日常生活飲食息息相關，希望透過上課與彼此的互動，讓更多人了解認識中醫，並從其中傳遞正確的中醫藥資訊。一個家庭中媽媽、姐妹們常是重要的飲食管理者、家庭的支柱，而健康的飲食、生活習慣是強身的基礎。所以正確資訊，飲食的選擇、陰陽的調整、與自然節氣的配合，都是非常重要的。

    中醫認為：脾胃是後天之本，照顧身體要從健康的飲食選用及正確的生活調息開始，期望透過知識的傳遞能讓健康的生活從每個小角落、小地方著手，讓健康的資訊能藉由母親的傳遞渲染每個家庭，造就我們健康的下一代。",生命教育、安全教育、藥物濫用,環境永續
手與布的蜜蜜世界-縫紉與拼布小物,"1. 以簡單的手縫創造出自用送禮兩相宜的作品。
2. 增加自己閒暇之餘的生活樂趣與成就感。
3. 開創自己另一項興趣與技能。
4. 結識同好，擴大生活圈。
",美感教育,非上述屬性
日語入門,透過歌唱學習到簡單日本語問候，及進一步了解日本文化，風俗習慣等，歌唱是一種健康的運動，可以解除您生活上的壓力，豐富精神層面領域，增進生活樂趣。透過歌唱學習到日本的文化、風俗習慣及簡單的問候語，上課方式輕鬆自在，幽默好笑的無壓力。,非上述屬性,民俗文化資產
古箏入門,透過雙手接觸琴弦傳達，感受著中國音符的跳動，將箏樂之美，逐漸融入於精神世界的涵養中，陶冶心靈培養氣質，提高藝術鑑賞力，擴展視野建立自信。,美感教育,美感教育
正念認知生活 MBCT for Life,"正念認知生活 MBCT for Life 課程目的在於提供人人都可親近的正念練習和認知行為方法,本課程引導成員如何在日常生活中應用這樣的學習來處理困境,同時培育喜悅,慈悲,平等和智慧。它提供了一種不同的生活方式,品味生活,豐富生命。",生命教育,人權法治
在愛恆樂活園實踐社會性樸門,"1.協助學員成為愛地球,愛人,分享多餘的社會及地球公民
2.認識社會性樸門的生活智慧,並活用在生活中
3.認識社群,生物多樣性,水,能源,土壤,並學習在生活中收集這五大元素,提升生活的能力
4.認識到個人與社區的連接,關懷居住的社區",生命教育、環境永續、公民素養,人權法治
快樂學易經：開啟生命智慧,本課程擬以「閱讀易經」、「觀察卦象」的模式，帶領學員領悟「《易經》文字背後豐富的智慧密碼」、察覺「自身處境中的進退應對」，希冀找回「生命的立足點」，開啟智慧、快樂生活、安頓心靈。,生命教育,非上述屬性
初級生活美語,"用英語環遊世界其實很簡單, 本課程藉著自然發音,進入實用句型,並教你靈活運用國中單字和句型,輕鬆學習生活美語和好聽的英文歌曲, 讓你出國開心秀英語.
",英語教育,環境永續、英語教育
法人投資秘笈-2021年台股投資熱點,"本次共四周課程，包括運用實例呈現法人如何同時運用基本面，技術面及籌碼面的選股流程。更重要的是，課程將預告2019年最熱門產業。
投資人只要運用重要財務指標，就足以認識一家公司，如果營運好，就長抱；營運轉差。斷捨離。學法人投資也可以很簡單的。",非上述屬性,非上述屬性
社區二三事、我紀錄 — 手機運用探索篇,因應社區民眾手機之普及使用習慣，自拍、隨拍之舉措隨處可見，如能導入社區關懷的意念，手機紀錄社區事，以社區內部觀點，重新建構社區民眾關注社區的方式，期能達成與社會對話的可能。,公民素養,科技學習
桃竹苗古道探索-中級C,古道為先民開拓地方的動線，本課程旨在探尋古道沿線自然、人文景觀，以瞭解先民篳路藍縷以啟山林艱辛歷程，並調查沿途各項鄉土資料。,山野教育、地方學,環境永續
桃竹苗古道探索-中級E,古道為先民開拓地方的動線，本課程旨在探尋古道沿線自然、人文景觀，以瞭解先民篳路藍縷以啟山林艱辛歷程，並調查沿途各項鄉土資料。,山野教育、地方學,環境永續
桃竹苗古道探索-初級F,古道為先民開拓地方的動線，本課程旨在探尋古道沿線自然、人文景觀，以瞭解先民篳路藍縷以啟山林艱辛歷程，並調查沿途各項鄉土資料。,山野教育、地方學,環境永續
烏克麗麗彈唱演奏入門,夏威夷的四弦小吉他-烏克麗麗，簡單易學，方便攜帶，沒有音樂基礎要求，適合各年齡層，透過活潑生動的教學方式，按部就班的系統練習，讓學員從無到有輕鬆的學習，讓烏克麗麗融入生活，享受指尖音符流動的樂趣。,美感教育,傳統藝術
脊椎骨盆保健皮拉提斯,日常生活中因習慣而累積的脊椎骨盆肌肉失衡，會造成腰背慢性疼痛不適、體態走樣與功能失調，運用短芯滾筒輔助皮拉提斯訓練，可增進脊椎骨盆肌肉的穩定控制能力，並透過短芯滾筒放鬆肌肉中潛藏的結節或激痛點，搭配正確伸展方式，學會日常中自我覺察與照護。,美感教育,非上述屬性
健康輕運動：彈力帶、瑜伽球、瑜伽提斯,為紓解日常生活中因生活、工作壓力引起的憂鬱或焦慮，輕運動乃最自然的身、心、靈為紓解日常生活中因生活、工作壓力引起的憂鬱或焦慮，輕運動乃最自然的身、心、靈合一健康養生功法，結合瑜珈體位及皮拉提斯的基礎動作，能夠增進健康、提升免疫力。,美感教育,環境永續、生命教育
"國標社交舞A班(探戈,吉魯巴)","從基本的動作的學習開始一步步的走入社交舞的世界中,慢慢的認識社交舞,
並隨著音樂的節奏,踩著輕盈活潑的舞步,找回青春的活力和運動的樂趣!!
輕鬆快樂的學習中,領略到社交舞之美!
",美感教育,傳統藝術
"國標社交舞B下午班(華爾茲,森巴)","從簡單的舞步開始慢慢進階到雙人舞,開始了解到社交舞的社交功能,
藉著悅耳的音樂和美妙的舞步,更加了解社交舞的內涵和美,
更用心的去感受身體的律動和音樂配合而產生的力量,進而無法自拔的愛上社交舞!!
",美感教育,傳統藝術
"國標社交舞C上午班(倫巴,捷舞)","從簡單的舞步開始慢慢進階到雙人舞,開始了解到社交舞的社交功能,
藉著悅耳的音樂和美妙的舞步,更加了解社交舞的內涵和美,
更用心的去感受身體的律動和音樂配合而產生的力量,進而無法自拔的愛上社交舞!!
",美感教育,傳統藝術
基礎素描,素描是所有繪畫的基礎，透過課程訓練，了解透視，培養立體感和空間感，並利用生活中垂手可得的事物入畫，在輕鬆的狀態下學習，循序漸進、深入淺出，讓繪畫不只是繪畫，而是成為一種休閒享受，進而奠定素描的基礎技巧。,美感教育、傳統藝術,非上述屬性
從電影療癒自己-話生命，聊性別,本課程將以電影、短片為輔助媒材，採用提問、分享與討論方式，從學員的生命經驗出發，看見生活處處離不開性別，以及因性別差異對個人生命的影響，發現、探討、理解自己的性別處境，並審視生活經驗中的性別議題，進而有不同的體悟與收穫。,性別平等,性別平等
旋轉天鵝~美式排舞週四初階班,"美式排舞為輕度運動.意思是排成排一起跳的舞.男女老少都適合.排舞運動風靡全球.
學員能藉由上課.活化全身體力.加強肌耐力.提升學員手腳協調性.訓練平衡感及記憶力.在反覆練習舞序並搭配舞曲.完整跳出舞曲.可加強學員自信心.促進身心健康.
",美感教育,非上述屬性
植物玻璃鑲崁,老師擁有8年珠寶設計師的經歷，將用人生中對美學的經驗與眼光，帶給飾品更多的樣貌與層次，並教授學員製作飾品的技巧,美感教育,美感教育
歌唱藝術與養生-竹塹社大合唱團推廣課,"1.學員能學會養聲氣功及正確的發聲方法。 
2.學員學會合唱表演技巧。 
3.學員能欣賞各種合唱作品。 
4.學員能熱心參與合唱表演。
",美感教育,美感教育
